isbn,title,authors,publisher,publish_date
9780439785969,Harry Potter and the Half-Blood Prince (Harry Potter  #6),"J.K. Rowling,Mary GrandPré",Scholastic Inc.,2006-09-16
9780439358071,Harry Potter and the Order of the Phoenix (Harry Potter  #5),"J.K. Rowling,Mary GrandPré",Scholastic Inc.,2004-09-01
9780439554893,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Scholastic,2003-11-01
9780439655484,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),"J.K. Rowling,Mary GrandPré",Scholastic Inc.,2004-05-01
9780439682589,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),"J.K. Rowling,Mary GrandPré",Scholastic,2004-09-13
9780976540601,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Nimble Books,2005-04-26
9780439827607,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Scholastic,2005-09-12
9780517226957,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Gramercy Books,2005-11-01
9780345453747,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Del Rey Books,2002-04-30
9781400052929,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Crown,2004-08-03
9780739322208,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),"Douglas Adams,Stephen Fry",Random House Audio,2005-03-23
9780517149256,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Wings Books,1996-01-17
9780767908184,A Short History of Nearly Everything,Bill Bryson,Broadway Books,2004-09-14
9780767915069,Bill Bryson's African Diary,Bill Bryson,Broadway Books,2002-12-03
9780767910439,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,Broadway Books,2004-09-14
9780767903868,In a Sunburned Country,Bill Bryson,Broadway Books,2001-05-15
9780767903820,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,Broadway Books,2000-06-28
9780060920081,The Lost Continent: Travels in Small Town America,Bill Bryson,William Morrow Paperbacks,1990-08-28
9780380713806,Neither Here nor There: Travels in Europe,Bill Bryson,William Morrow Paperbacks,1993-03-28
9780380727506,Notes from a Small Island,Bill Bryson,William Morrow Paperbacks,1997-05-28
9780380715435,The Mother Tongue: English and How It Got That Way,Bill Bryson,William Morrow Paperbacks,1991-09-28
9780345538376,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Ballantine Books,2012-09-25
9780618517657,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Houghton Mifflin Harcourt,2004-10-21
9780618346257,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Houghton Mifflin Harcourt,2003-09-05
9780618260584,The Lord of the Rings (The Lord of the Rings  #1-3),"J.R.R. Tolkien,Alan  Lee",Houghton Mifflin Harcourt,2002-10-01
9780618391004,The Lord of the Rings: Weapons and Warfare,"Chris   Smith,Christopher  Lee,Richard Taylor",Houghton Mifflin Harcourt,2003-11-05
9780618510825,The Lord of the Rings: Complete Visual Companion,Jude Fisher,Houghton Mifflin Harcourt,2004-11-15
9780976694007,Agile Web Development with Rails: A Pragmatic Guide,"Dave Thomas,David Heinemeier Hansson,Leon Breedt,Mike Clark,Thomas  Fuchs,Andreas  Schwarz",Pragmatic Bookshelf,2005-07-28
9780689840920,Hatchet (Brian's Saga  #1),Gary Paulsen,Atheneum Books for Young Readers: Richard Jackson Books,2000-04-01
9781557344496,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom","Donna Ickes,Edward Sciranko,Keith Vasconcelles",Teacher Created Resources,1994-08-28
